lpad;rmo;hh_sno;sex;sex2;sex3;edu;edu1;edu2;edu3;edu4;edu5;edu6;edu7;edu8;edu9;edu10;edu12;edu15;edu18;occ;occ2;occ3;occ4;occ5;hh_f;hh_f2;hh_a;hh_a2;c01m;c01f;c01h;c02m;c02f;c02h;c03m;c03f;c03h;c04;c05;c06;c07;c08;c09;c10;c11;c12;c13;c14;c15;c16;c17;c18;sf;mf;lf;c19;c20;c21;c22;c23;c24;c25;c26;c27;c28h;c28f;c29h;c29f;c30h;c30f;c31h;c31f;c32h;c32f;c33h;c33f;c34h;c34f;c35h;c35f;c36h;c36f;c37h;c37f;c38h;c38f;c39;c40;c41a;c41b;c42a;c42b;c43a;c43b;c44a;c44b;c45a;c45b;c45c;c46a;c46b;c47a;c47b;c48;c49;t101;t102;t103;t104;t105;t112;t113;t114;t121;t122;t123;t124;t125;t127;t128;t129;t130;t131;t132;t134;t135;t157;t158;t159;t160;t161;t167;t169;t175;t176;t177;t179;t182;t185;t106;t107;t108;t109;t110;t111;t115;t116;t117;t118;t119;t120;t126;t133;t136;t137;t138;t139;t140;t141;t142;t143;t144;t145;t146;t147;t148;t149;t150;t151;t152;t153;t154;t155;t156;t162;t163;t164;t165;t166;t168;t170;t171;t172;t173;t174;t178;t180;t181;t183;t184;t186;t187;t188;t189;t190;t191;t192;t193;t194;t195;t196;t197;t198;t199;t200;t201;t202;t203;p501a;p501b;p502a;p502b;p503a;p503b;p504a;p504b;p505a;p505b;p506a;p506b;p507a;p507b;p508a;p508b;p510a;p510b;p511a;p511b;p512a;p512b;p521a;p521b;p522a;p522b;p523a;p523b;p524a;p524b;p538a;p538b;p539a;p539b;p546a;p546b;p548a;p548b;p549a;p549b;p550a;p550b;p551a;p551b;p572a;p572b;p509a;p509b;p513a;p513b;p514a;p514b;p515a;p515b;p516a;p516b;p517a;p517b;p518a;p518b;p519a;p519b;p520a;p520b;p525a;p525b;p526a;p526b;p527a;p527b;p528a;p528b;p529a;p529b;p530a;p530b;p531a;p531b;p532a;p532b;p533a;p533b;p534a;p534b;p535a;p535b;p536a;p536b;p537a;p537b;p540a;p540b;p541a;p541b;p542a;p542b;p543a;p543b;p544a;p544b;p545a;p545b;p547a;p547b;p552a;p552b;p553a;p553b;p554a;p554b;p555a;p555b;p556a;p556b;p557a;p557b;p559a;p559b;p560a;p560b;p561a;p561b;p562a;p562b;p563a;p563b;p564a;p564b;p565a;p565b;p566a;p566b;p567a;p567b;p568a;p568b;p569a;p569b;p570a;p570b;p571a;p571b;p573a;p573b;p574a;p574b;p575a;p575b;p577a;p577b;p579a;p579b;p580a;p580b;p581a;p581b;p582a;p582b;p584a;p584b;p585a;p585b;c04gtrhh;c05gtrhh;c06gtrhh;c07gtrhh;c08gtrhh;c11gtrhh;c12gtrhh;c13gtrhh;c14gtrhh;c17gtrhh;c18gtrhh;c19gtrhh;c20gtrhh;c21gtrhh;c22gtrhh;c23gtrhh;c24gtrhh;c25gtrhh;c26gtrhh;c27gtrhh;c02mfarm;c02ffarm;c02hfarm;c03mfarm;c03ffarm;c03hfarm;c07farm;c08farm;c19farm;c04smlf;c05smlf;c06smlf;c07smlf;c08smlf;c09smlf;c10smlf;c11smlf;c12smlf;c13smlf;c14smlf;c15smlf;c16smlf;c17smlf;c18smlf;c19smlf;c20smlf;c21smlf;c22smlf;c23smlf;c24smlf;c25smlf;c26smlf;c27smlf
20.46.61.474.700;3;128;123;5;0;54;23;15;6;11;6;3;1;3;1;4;1;0;0;117;0;5;5;1;2;126;76;52;284;279;0;4;1;0;175;150;0;376.35;7.4;25.53;394.48;12.24;2.8;0.54;1.2;16.78;148.13;227.97;0;1.6;0;377.7;69;51;7;0;0;0.3;0;0;0;0;0;3.75;1344;400;32;25;0;0;0;0;0;0;261;0;30;0;332;29;16;0;23;0;0;0;0;4;4;0;2;0;0;0;0;0;4;4;0;31;2;0;0;12;109;61.78;54.52;6.8;0;0.12;0;0;0;0.14;0.04;0;0.03;0.04;0.04;0.05;0.02;0.02;0.06;0.22;0;0;0.03;0;19.49;52.98;2.43;0;0;36.39;2.16;0;1.84;0;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.13;14.4;8681;0.4;0;3.5;1450;15.32;10831;0;0;0.3;71;0;0;0;0;0;0;0;0;0;0;0;0;2.5;700;0.93;890;0;0;0.67;0;3.28;3889;68.11;0;7.2;4718;0;0;1.01;0;113.95;58658;1;700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;128;7;53;128;127;7;128;128;127;0;128;0;0;1;0;0;0;0;0;10;1;1;0;88;76;0;394.48;12.24;0;376.35;7.4;25.53;394.48;12.24;2.8;0.54;1.2;16.78;148.13;227.97;0;1.6;0;377.7;0;0;0.3;0;0;0;0;0;3.75
20.46.65.439.411;1;1500;1426;74;0;406;21;127;65;61;243;65;86;123;130;129;26;14;4;1318;6;57;28;91;34;1466;472;1028;3186;3094;2;10;8;0;1268;943;0;3144.34;180.8;216.82;3180.36;121.03;15.09;108.05;49.4;293.57;1466.96;1273.73;15.1;0.8;130.2;2886.79;1035;384;24;628.3;0;3.8;2.4;6;0;0;0;7.25;7899;2626;422;507;58;0;8;0;44;75;1660;40;253;0;766;42;39;0;258;0;14;0;2;33;76;4;11;2;0;0;0;0;2;16;0;41;0;0;0;0;3;270.93;862.54;654.17;0;5.2;0.15;0.02;0.08;51.98;35.26;4.88;14.22;3.87;3.14;9.1;6.75;12.02;3.07;8.89;0.38;1.34;0.3;0.26;231.75;606.31;42.13;0;0.25;346.03;1.8;0.11;6.66;0.12;3.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.65;267.87;85052;5.33;413;22.37;6780;54.86;17683;0.97;540;6.48;1813;0.53;240;3.97;2205;0.03;27;0.02;11;9.06;5445;0.04;19;2.94;282;2.29;1682;15.17;7189;13.1;0;4.36;5109;121.8;0;3.4;349;0.12;38;18.37;6013;714.06;461011;2.72;2388;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1480;132;334;1496;1490;67;1493;1427;1193;194;1476;797;0;3;6;4;0;0;0;15;2;1;0;331;264;0;3177.32;119.42;628.3;3141.45;180.8;216.67;3177.32;119.42;15.09;107.51;48.9;290.92;1466.58;1273.72;15.1;0.8;130.2;2886.4;628.3;0;3.8;2.4;6;0;0;0;7.25
20.46.65.439.786;1;516;496;20;0;167;22;43;31;41;27;20;14;40;36;54;18;3;0;469;0;11;14;22;1;515;113;403;1115;1079;1;8;9;0;273;256;0;1100.92;72.5;67.98;1096.4;51.71;9.44;41.78;9.7;112.63;580.88;384.59;3.2;0;15.1;983.77;356;108;21;165.3;0;0.2;2;0;0;0;0;0;3521;3030;100;217;28;0;0;0;0;0;486;0;32;0;159;16;6;0;194;0;0;0;1;14;20;0;0;0;0;0;0;0;7;6;0;86;0;0;0;0;2;212.56;269.31;64.9;0.4;2.52;0.01;0;0.05;32.35;6.69;1.21;3.59;1.14;0.06;2.68;3.26;2.12;2.02;2.31;0.01;0.03;0.2;0.34;64.28;175.39;15.51;0;0.15;128.56;0.57;0.2;2.96;0;4.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.85;61.64;16818;3.68;81;6.16;523;16.89;1512;0.38;161;2.86;599;0.05;35;0.03;31;0;4;0;2;1.38;697;0.02;8;0.82;66;1.54;1125;1.69;301;0.73;0;1.39;971;29.5;0;0.1;3;0;0;10.99;1860;259.57;120406;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;507;58;94;516;509;59;515;462;310;22;490;243;0;1;1;0;0;0;0;0;4;3;0;69;62;0;1089.4;49.41;165.3;1093.71;72;67.69;1089.4;49.41;9.27;38.17;8.8;105.65;580.86;384.59;3.2;0;15.1;983.75;165.3;0;0.2;2;0;0;0;0;0
20.46.65.506.112;1;1142;1047;95;0;428;19;146;66;57;146;21;24;67;62;76;19;8;3;698;18;67;94;265;159;983;682;460;2474;2445;0;18;9;0;705;557;0;1793.85;124.9;135.03;1803.99;114.66;7.99;93.45;125.2;341.3;594.48;781.61;32.8;2.8;51;1462.69;754;171;11;31.6;0;22.7;3.6;4.3;0;0;0;0.1;6144;2640;1080;908;297;0;27;0;23;36;1390;33;84;9;884;49;30;22;169;0;4;0;8;28;46;2;30;50;0;2;0;0;0;26;0;38;0;0;0;32;34;110.02;293.07;366.72;0;2.39;0.03;0.12;0.06;12.73;8.75;1.08;10.38;0.99;0.91;1.47;1.91;3.35;7.21;4.8;0.4;0.5;0.2;0.29;116.81;233.78;9.75;0;0;119.51;2.44;0;4.02;0;2.61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.54;87.22;18339;29.44;151;52.82;3960;73.71;4387;1.88;121;5.87;1130;0.65;49;0.39;44;0.06;13;0;6;0.57;249;0.22;15;1;83;1.03;203;2.07;247;1.9;0;8.79;2446;124.2;1565;1.83;226;0.09;10;60.6;3652;520.35;121720;0.23;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1117;130;252;1141;1138;313;1141;930;881;128;1043;63;0;48;9;7;0;0;0;1;4;2;0;108;88;0;1779.41;101.87;31.6;1766.15;120.3;133.56;1779.41;101.87;7.9;90.4;119.6;319.77;593.52;780.52;31.8;2.8;51;1459.64;31.6;0;21.7;3.6;4.3;0;0;0;0.1
20.46.65.506.150;1;206;189;17;0;29;13;6;4;5;34;18;29;22;29;11;5;0;1;181;0;6;11;8;25;181;84;122;430;474;0;74;79;0;266;290;0;403.11;14.1;36.14;425.89;20.02;22.37;13.08;2.5;57.97;193.7;163.42;5.3;0.1;5.4;367.92;146;52;2;30.7;0;0;0;0;0;0;0;5.7;1541;400;161;228;12;0;0;0;0;0;183;0;0;0;63;0;4;0;67;0;2;0;0;11;13;1;1;20;0;0;0;0;3;7;0;5;0;0;0;1;0;5.2;172.58;30.75;0;0.07;0;0;0;3.67;1.4;0.02;0;0.07;0.01;0.14;0;0;0.3;0.16;0;0;0;0;33.2;74.77;0.55;0;0;46.96;0.52;0;17.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.61;21.64;1160;0.79;53;17.27;781;16.31;842;1.93;107;8.86;480;1.39;85;0.04;2;0.06;3;0;0;1.23;53;0;0;0.4;13;1.08;59;9.87;418;0;0;2.95;259;8.32;0;0.1;3;0;0;0;0;67.71;25834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;17;48;206;205;23;206;188;194;7;200;60;0;0;0;0;0;0;0;10;22;17;0;76;79;0;425.59;19.72;30.7;402.81;14.1;36.14;425.59;19.72;22.37;13.08;2.5;57.67;193.7;163.42;5.3;0.1;5.4;367.92;30.7;0;0;0;0;0;0;0;5.7
20.46.65.506.410;1;281;273;8;0;101;9;18;10;13;34;9;7;23;40;13;3;1;0;255;0;9;1;16;71;210;107;174;652;628;0;3;5;0;294;290;0;519.2;13.6;41.19;546.79;26.25;1.95;9.89;0.1;38.19;292.3;198.8;5.4;0;12.1;508.6;209;70;1;96.4;0;4.1;0;0;0;0;0;0;2382;1774;204;1036;2;0;0;0;0;0;335;0;38;0;54;0;14;0;113;0;1;0;0;20;15;0;0;0;0;0;0;0;0;1;0;0;0;0;0;46;0;0;181.16;121.5;0;1.01;0;0;0;0.35;0.23;0.39;0.51;0.05;0.05;0;0.1;0.3;0.6;0.95;0;0;0;0;53.64;108;0.14;0;0;67.43;0.58;0.6;49.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15.6;48.4;8510;0.78;32;11.04;1305;28.94;3052;0.54;149;4.87;514;2.3;368;0.09;13;0.13;21;0;0;0.66;45;0.03;2;0.37;17;0.3;53;1.13;112;0.3;0;2.99;899;6.5;0;0.29;30;0;0;2.1;1006;86.91;42761;0.02;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;275;12;58;281;279;1;281;278;209;29;281;154;0;2;0;0;0;0;0;0;0;0;0;82;78;0;546.65;26.21;96.4;519.06;13.6;41.19;546.65;26.21;1.95;9.81;0.1;38.07;292.28;198.8;5.4;0;12.1;508.58;96.4;0;4.1;0;0;0;0;0;0
20.46.65.506.748;3;2132;1909;223;0;540;23;132;96;99;401;47;49;223;73;234;139;60;16;768;9;248;487;620;151;1981;755;1377;4829;4812;0;29;19;0;641;535;0;2838;187.1;189.33;2840.27;235.47;35.76;81.22;190;542.45;770.19;1392.63;51.5;3.8;79.7;2297.82;893;183;38;0.6;0;35.6;0.8;0.4;1.2;0;0;0;4956;5115;1255;1612;1188;100;2;0;134;77;1175;35;27;11;1014;0;12;0;100;20;2;0;18;19;45;1;0;108;0;0;0;0;0;15;1;0;0;0;0;107;1;314.8;483.19;113.88;1.6;44.16;1.01;0.02;0.73;1.75;24.96;0.9;5.99;2.12;0.02;1.69;4.62;1.04;16.1;8.29;0.2;0.49;0;0.14;93.5;220.96;5.87;0;10;198.1;25.1;1.61;15.23;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44.32;127.3;16969;66.84;951;101.29;5843;181.4;4516;34.19;598;31.54;1475;1.39;1590;0.44;59;0.43;51;1.29;58;1.35;139;0.21;39;34.48;451;17.86;754;34.74;587;0.63;0;37.8;4258;109.89;25;5.43;2297;2.86;1166;115.5;2917;580.89;56105;2.09;1365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2080;130;412;2126;2101;231;2125;916;1028;121;1303;1;0;24;1;1;2;0;0;0;5;4;0;99;93;0;2704.45;163.14;0.6;2666.02;143.8;182.23;2704.45;163.14;25.19;64.82;167.2;420.35;769.59;1389.51;41.5;3.8;79.7;2284.1;0.6;0;27.6;0;0.4;0.2;0;0;0
20.46.65.515.449;1;1631;1531;100;0;526;27;170;76;80;256;37;45;152;97;97;37;22;8;1048;18;161;120;284;65;1566;394;1237;3599;3601;0;11;7;0;806;452;0;3167.38;172.1;284.17;3279.45;137.92;28.22;179.65;479.9;825.69;1009.38;1185.18;18.4;4.8;236;2453.76;1118;305;24;74.8;0;11.8;3.3;0.5;0.5;0;0;0;11128;4770;1155;1145;375;86;7;0;30;26;1972;45;101;0;1769;76;108;0;447;11;10;0;4;23;21;3;1;2;1;0;13;0;2;9;0;28;5;0;0;8;23;158.36;614.22;249.01;0;3.03;0.01;0.01;0.04;12.3;17.21;3.97;6.04;3.49;2.53;7.28;9.48;19.17;12.05;12.41;0.31;0.25;0.03;0.02;172.98;423.06;18.27;0;0.04;289.34;5.39;0.1;48.8;0.18;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43.3;165.83;41267;13.7;1599;93.14;13748;72.81;13655;4.61;1425;16.16;4818;4.21;1732;1.37;299;0.23;19;0.14;11;5.52;2750;0.23;38;1.55;840;9;941;10.11;2211;3.27;0;9.44;3841;95.6;273;3.46;771;1.07;204;29.34;4376;683.31;296994;4.37;2522;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1615;164;398;1630;1617;513;1626;1386;1377;618;1519;147;0;17;6;1;1;0;0;0;1;1;0;178;125;0;3250.9;129.34;74.8;3138.08;170.8;283.62;3250.9;129.34;27.82;163.8;477;797.96;1009.01;1184.73;18.4;4.8;236;2452.94;74.8;0;11.8;3.3;0.5;0.5;0;0;0
20.46.65.515.487;1;1187;1093;94;0;268;37;165;120;53;187;24;27;109;60;77;43;11;6;533;14;99;280;261;13;1174;483;704;2779;2618;0;96;74;0;511;473;0;1181.49;55.8;105.91;1231.6;89.9;10.09;57.29;135.3;292.58;462.33;396.89;5;3;71.8;939.02;771;67;3;5.3;0;0.3;0.8;0;0;0;8;1.56;5200;1290;686;299;425;0;33;0;22;0;1220;36;57;0;820;12;27;20;305;0;3;6;2;5;3;3;0;45;0;4;1;0;3;3;6;0;1;0;0;0;3;180.89;280.61;142.26;1;2.74;0.1;0.81;0.01;11.32;14.82;4.06;4.76;3.99;0.15;3.55;5.6;6.77;5.26;14.61;2.45;2.07;0.27;0.27;88.11;198.24;13.87;0;0.2;123.34;2.02;0.25;2.26;0.42;1.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59.27;124.77;19532;5.78;207;36.76;4064;40.96;4103;5;830;8.62;1078;0.99;84;0.97;121;0.73;44;0.09;9;1.91;200;0.34;46;3.27;269;1.53;1331;5.46;1092;2.01;0;6.1;1157;37.57;380;1.64;211;0.17;43;11.5;234;126.63;23856;0.36;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1153;65;248;1180;1172;260;1179;817;931;253;1020;4;0;1;2;0;0;0;1;3;4;3;0;33;27;0;1200.36;72.44;5.3;1153.77;51.1;97.69;1200.36;72.44;8.69;55.4;129.4;265.93;461.3;393.83;4.5;3;71.8;934.43;5.3;0;0.3;0.8;0;0;0;8;1.56
20.46.65.524.488;1;1688;1482;206;0;472;36;119;97;85;230;80;36;119;102;207;64;37;4;1298;41;150;82;117;32;1656;670;1018;3640;3544;0;119;124;0;1704;1492;0;4514.04;259.9;248.17;4502.31;124.24;27.79;280.11;7.5;439.64;1675.66;2352.31;7.2;5.8;21.7;4062.67;1066;443;66;813.8;0;1.2;11.7;10.2;0;0;0;1.2;10305;3552;760;1712;171;0;8;0;16;123;1865;45;321;0;851;71;113;0;819;12;19;8;1;57;143;1;8;1;4;1;34;0;7;33;0;0;1;0;0;7;29;155.74;606.42;1065.1;3;1.79;0;0.04;0.19;15.88;10.64;3.1;7.1;2.75;0.21;1.33;3.17;1.48;1.82;4.25;0.01;0;1.25;1.6;250.62;621.85;10.2;0;0.3;316.39;1.6;0;20.23;0.5;0.08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37.17;442.49;90760;13.15;176;57.5;9802;133.75;19498;1.28;309;13.29;3569;0.93;201;0.4;61;0.01;24;1;217;13.52;2883;0;7;2.73;372;30.82;5570;25.87;4281;3.58;0;21.88;12639;218.76;999;4.05;1695;0;0;30.49;1747;1361.09;457340;10.96;5179;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1672;166;373;1687;1676;23;1685;1434;1421;45;1619;795;0;4;12;8;0;0;0;1;53;36;0;558;468;0;4486.43;119.65;813.7;4488.94;249.3;246.79;4486.43;119.65;21.24;276.08;7.3;424.27;1675.55;2351.91;7.2;5.8;21.7;4062.16;813.7;0;1.2;11.7;10.2;0;0;0;1.2
20.46.67.142.075;1;810;683;127;0;290;5;56;52;55;165;18;30;66;14;37;16;4;2;503;3;61;52;191;17;793;278;532;2040;2028;0;35;5;0;469;212;0;1654.17;84.4;82.39;1652.16;84.68;11.43;30.48;56.9;183.49;396.81;1050.66;17.2;1.5;2.5;1468.67;485;164;31;152.8;0;12;1.9;0;0;0;0.4;0;5349;6200;625;409;178;0;1;0;22;15;1144;88;19;10;872;71;7;0;98;0;0;0;4;0;16;1;0;2;0;0;8;0;3;2;0;1;0;0;0;4;11;7.1;397.15;174.49;0;0.2;0;0;0;8.42;4.48;0;0.96;0.55;0;0.49;0.76;2.85;12.54;5.27;0;0;0;0;66.43;126.41;1.22;0;0;66.72;0.86;0;28.39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.09;153.49;22373;5.08;434;224.26;38906;73.5;19110;6.25;1144;2.46;377;2.83;966;0.19;59;0.35;71;0.02;7;0.09;15;0;0;0.69;44;4.19;1309;2.15;280;0;0;6.44;1722;385.81;0;0.97;152;0.85;50;51.76;18231;55.99;17249;0.09;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;783;72;118;809;800;96;809;438;651;6;703;171;0;29;3;0;0;0;1;0;13;2;0;139;54;0;1631.89;74.84;152.8;1636.56;84.4;79.73;1631.89;74.84;9.99;28.82;50;163.65;396.57;1050.57;17.1;1.5;2.5;1468.24;152.8;0;11.9;1.9;0;0;0;0.4;0
